,name,link,image,price
1,Burberry Brit Oxford Abown Polo,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/burberry-brit-oxford-abown-polo/4557619?origin=keywordsearch-personalizedsort&fashioncolor=BRIGHT%20BLUE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_103137566.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$175.00
2,Topman Classic Fit Stand Collar Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/topman-classic-fit-stand-collar-oxford-shirt/4728987?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_101304067.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$35.00
3,Ted Baker London Endurance Driss Trim Fit Geometric Oxford Dress Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/ted-baker-london-endurance-driss-trim-fit-geometric-oxford-dress-shirt/4848786?origin=keywordsearch-personalizedsort&fashioncolor=NAVY,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_102608995.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$110.00
4,David Donahue Regular Fit Oxford Dress Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/david-donahue-regular-fit-oxford-dress-shirt/3233680?origin=keywordsearch-personalizedsort&fashioncolor=SKY,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_101336561.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$135.00
5,RVCA 'That'll Do' Slim Fit Short Sleeve Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/rvca-thatll-do-slim-fit-short-sleeve-oxford-shirt/3512110?origin=keywordsearch-personalizedsort&fashioncolor=COBALT,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_102493790.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$50.00
6,Topman Muscle Fit Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/topman-muscle-fit-oxford-shirt/4833015?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_102118855.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$35.00
7,1901 Trim Fit Giraffe Embroidered Oxford Sport Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/1901-trim-fit-giraffe-embroidered-oxford-sport-shirt/4743667?origin=keywordsearch-personalizedsort&fashioncolor=GREEN%20BRONZE%20WHITE%20GIRAFFES,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_102532267.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$32.98
8,Gitman Regular Fit Pinpoint Cotton Oxford Button Down Dress Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/gitman-regular-fit-pinpoint-cotton-oxford-button-down-dress-shirt/3744658?origin=keywordsearch-personalizedsort&fashioncolor=BLUE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_9088359.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$145.00 – $155.00
9,Topman Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/topman-oxford-shirt/4911293?origin=keywordsearch-personalizedsort&fashioncolor=NAVY%20BLUE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_102640282.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$40.00
10,Ted Baker London Wonky Trim Fit Oxford Sport Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/ted-baker-london-wonky-trim-fit-oxford-sport-shirt/4832417?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_102394040.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$149.00
11,1901 Trim Fit Print Washed Oxford Sport Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/1901-trim-fit-print-washed-oxford-sport-shirt/4730848?origin=keywordsearch-personalizedsort&fashioncolor=NAVY%20NIGHT%20TRIPLE%20DOT,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_102616813.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$55.00
12,1901 Trim Fit Washed Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/1901-trim-fit-washed-oxford-shirt/4802734?origin=keywordsearch-personalizedsort&fashioncolor=WHITE%20OXFORD,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_101146673.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$49.50
13,Burberry Brit 'Oxford' Long Sleeve Polo,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/burberry-brit-oxford-long-sleeve-polo/4574693?origin=keywordsearch-personalizedsort&fashioncolor=DARK%20CHARCOAL%20MELANGE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_13318549.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$195.00
14,Volcom Everett Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/volcom-everett-oxford-shirt/4778121?origin=keywordsearch-personalizedsort&fashioncolor=INDIGOWORK,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_102909051.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$50.00
15,Gitman 'Cambridge Oxford' Regular Fit Dress Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/gitman-cambridge-oxford-regular-fit-dress-shirt/4051268?origin=keywordsearch-personalizedsort&fashioncolor=BLUE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_10835362.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$155.00
16,Scotch & Soda Classic Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/scotch-soda-classic-oxford-shirt/4829675?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_103106782.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$125.00
17,Gitman Regular Fit Pinpoint Cotton Oxford Point Collar Dress Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/gitman-regular-fit-pinpoint-cotton-oxford-point-collar-dress-shirt/3744656?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_9088789.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$145.00 – $155.00
18,J.Crew Slim Fit Stretch Pima Cotton Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/j-crew-slim-fit-stretch-pima-cotton-oxford-shirt/4863944?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_102922186.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$69.50
19,Volcom Stretch Oxford Shirt,https://shop.nordstrom.comhttps://shop.nordstrom.com/s/volcom-stretch-oxford-shirt/4897049?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_102909045.jpg?fit=fill&fm=jpg&dpr=2&h=368&w=240&quality=45&tradecacheforcash=yes,$55.00
